SA_UUID, Interval Timestamp, Delivered From Grid Value (Wh), Back To Grid Value (Wh)
6745359, Thu Oct 28 2021 04:00:00 GMT-0700 (Pacific Daylight Time), 342, 0
6745359, Thu Oct 28 2021 05:00:00 GMT-0700 (Pacific Daylight Time), 369, 0
6745359, Thu Oct 28 2021 06:00:00 GMT-0700 (Pacific Daylight Time), 404, 0
6745359, Thu Oct 28 2021 07:00:00 GMT-0700 (Pacific Daylight Time), 786, 0
6745359, Thu Oct 28 2021 08:00:00 GMT-0700 (Pacific Daylight Time), 429, 163
6745359, Thu Oct 28 2021 09:00:00 GMT-0700 (Pacific Daylight Time), 12, 715
6745359, Thu Oct 28 2021 10:00:00 GMT-0700 (Pacific Daylight Time), 5, 1088
6745359, Thu Oct 28 2021 11:00:00 GMT-0700 (Pacific Daylight Time), 0, 1284
6745359, Thu Oct 28 2021 12:00:00 GMT-0700 (Pacific Daylight Time), 13, 1224
6745359, Thu Oct 28 2021 13:00:00 GMT-0700 (Pacific Daylight Time), 1, 1154
6745359, Thu Oct 28 2021 14:00:00 GMT-0700 (Pacific Daylight Time), 0, 806
6745359, Thu Oct 28 2021 15:00:00 GMT-0700 (Pacific Daylight Time), 0, 446
6745359, Thu Oct 28 2021 16:00:00 GMT-0700 (Pacific Daylight Time), 166, 65
6745359, Thu Oct 28 2021 17:00:00 GMT-0700 (Pacific Daylight Time), 2435, 0
6745359, Thu Oct 28 2021 18:00:00 GMT-0700 (Pacific Daylight Time), 1240, 0
6745359, Thu Oct 28 2021 19:00:00 GMT-0700 (Pacific Daylight Time), 1046, 0
6745359, Thu Oct 28 2021 20:00:00 GMT-0700 (Pacific Daylight Time), 1141, 0
6745359, Thu Oct 28 2021 21:00:00 GMT-0700 (Pacific Daylight Time), 984, 0
6745359, Thu Oct 28 2021 22:00:00 GMT-0700 (Pacific Daylight Time), 895, 0
6745359, Thu Oct 28 2021 23:00:00 GMT-0700 (Pacific Daylight Time), 576, 0
6745359, Fri Oct 29 2021 00:00:00 GMT-0700 (Pacific Daylight Time), 1523, 0
6745359, Fri Oct 29 2021 01:00:00 GMT-0700 (Pacific Daylight Time), 1476, 0
6745359, Fri Oct 29 2021 02:00:00 GMT-0700 (Pacific Daylight Time), 329, 0
